ID,Sentence,Analyzed,Gloss,Translation,Text_ID,Sentence_Number,Phrase_Number
1,zəple: ȵike: peji qeʴlotʂuʁɑ,zəp-le: ȵi-ke: pe-ji qeʴlotʂu-ʁɑ,earth-DEF:CL WH-INDEF:CL become-CSM in.the.past-LOC,"Long, long ago,",1,1,1
2,mutulɑ mujuqů ʐguəzi wei,mutu-lɑ mujuqů ʐguə-zi we-i,heaven-LOC sun nine-CL exist-HSY,there were nine suns in the heaven,1,1,2
3,zəple: ətɕhəqhɑʐi,zəp-le: ə-tɕhəqhɑ-ʐ-i,earth-DEF:CL DIR-burn-CAUS-HSY,which burned the earth.,1,1,3
4,mə ȵɑ ɣlu jətʂŋuəȵi,mə ȵɑ ɣlu jə-tʂ-ŋuəȵi,older.brother and younger.sister two-CL-TOP,Because a brother and younger sister,1,2,1
5,zuɑməɸu oʐgutɑ ipiχuɑȵi,zuɑmə-ɸu o-ʐgu-tɑ i-pi-χuɑ-ȵi,cypress-tree one-CL-LOC DIR-hide-because-ADVZ,"hid in a great cypress (that honored the gods),",1,2,2
6,ɦomuxtɕuwei,ɦo-mu-xtɕu-wei,DIR-NEG-burn-exist:HSY,they were not burned to death.,1,2,3
7,steketɑ mi peʴʐəs ŋuəχuɑȵi,steke-tɑ mi peʴʐə-s ŋuə-χuɑ-ȵi,behind-LOC people raise.child-NMLZ COP-because-ADVZ,"Later, in order to propagate descendants,",1,3,1
8,mə ȵɑ ɣlu lezi idʐitɕi,mə ȵɑ ɣlu le-zi i-dʐi-tɕi,older.brother and younger.sister DEF-CL DIR-discuss-3PL,the brother and sister talked it over,1,3,2
9,ȵutɕuku dzuɑʁl exʂe ɦeibiȵi,ȵutɕuku dzuɑʁl e-xʂe ɦei-bi-ȵi,each stone.mill one-CL DIR-carry.on.back-ADVZ,and decided that each would carry a stone mill on his or her back,1,3,3
10,ʁuqtɑwu ɦoɣlu,ʁu-q-tɑ-wu ɦo-ɣlu,mountain-head-LOC-ABL DIR-roll,and roll it down from the mountain peak.,1,3,4
11,dzuɑʁl jəxʂe etʂetuptu,dzuɑʁl jə-xʂe e-tʂetup-tu,stone.mill two-CL DIR-bump.into-LNK,"If the two stone mills joined together,",1,3,5
12,ȵizzi oqpi pəs,ȵizzi oqpi pə-s,3DU family do-NMLZ,the two could get married.,1,3,6
13,dzuɑʁl jəxʂe ɦoɣlustɑ,dzuɑʁl jə-xʂe ɦo-ɣlu-s-tɑ,stone.mill two-CL DIR-roll-NMLZ-LOC,"when the two stone mills rolled down (to the river bank),",1,3,7
14,qhuɑt etʂetupwei,qhuɑt e-tʂetup-wei,as.it.happens DIR-bump.into-exist:HSY,"as it happened, they joined together,",1,3,8
15,ɦɑtsəiȵike,ɦɑ-tsəi-ȵike,EMPH-this:manner-after,and so,1,3,9
16,mə ȵɑ ɣlu lezi oqpi ɦopəi,mə ȵɑ ɣlu le-zi oqpi ɦo-pə-i,older.brother and younger.sister DEF-CL family DIR-do-HSY,the brother and sister married.,1,3,10
17,əjəp peȵi,ə-jə-p pe-ȵi,one-two-year become-ADVZ,"After a few years,",1,4,1
18,ɣlule: mi qes mɑŋ̥u̥ə̥ ke: iɕi,ɣlu-le: mi qes mɑ-ŋ̥u̥ə̥ ke: i-ɕi,younger.sister-DEF:CL people form NEG-COP INDEF:CL DIR-release,the younger sister gave birth to a monster not of human form.,1,4,2
19,məle: təkhueq,,,The older brother was so angry,1,5,1
20,duɑʁlle:wu səxteȵi tɕetɕilɑ daʁů,,,he used a curved knife/scythe to chop it into pieces and scattered them wildly everywhere.,1,5,2
21,steke lɑsʁɑ,,,"The next day when they got up,",1,6,1
22,tɕetɕilɑwu mufů təlɑji,,,they saw the smoke of cooking fires everywhere.,1,6,2
23,ɦɑtsəiȵike,,,And henceforth,1,6,3
24,mi luji,,,there was humankind.,1,6,4
25,mutsitʂu ȵɑ tugantʂu mutsitʂu ȵɑ tugantʂu zəpəqtɑ ɦoluɑ:ji,mutsitʂu ȵɑ tugantʂu mutsitʂu ȵɑ tugantʂu zəpəq-tɑ ɦo-lu-ɑ:-ji,Mutsitʂu and Tugantʂu Mutsitʂu and Tugantʂu earth-LOC DIR-come-PRS-CSM,(The goddess) Mutsitʂu and (the mortal man) Tugantʂu wanted to come down to the earth.,2,1,1
26,ɑpə mupithɑŋuəȵi,ɑpə mupithɑ-ŋuəȵi,father Mupitha-TOP,The god Mupitha,2,2,1
27,thəzzitɑ kəji,thəzzi-tɑ kə-ji,3DU-LOC thus-say,"said to them,",2,2,2
28,ʔizzi zəpəqtɑ ɦaʁɑita ɦɑʁəi,ʔizzi zəpəq-tɑ ɦa-ʁɑ-i-ta ɦɑ-ʁə-i,2DU earth-LOC DIR-go-2PL-if DIR-go-2PL,"“If you want to go down to the earth, then go.”",2,2,3
29,thizzi kə ʁzaʁɑ,thizzi kə ʁza-ʁɑ,3DU go time-LOC,"Just before Mutsitʂu and Tugantʂu left,",2,3,1
30,ɑpəxsəŋuəȵi themle luzu xsəquɑt delwei,ɑpə-xsə-ŋuəȵi themle lu-zu xsə-quɑt de-l-wei,father-god-TOP 3PL China.fir-seed three-bushel DIR-give-exist:HSY,Mupitha gave them three bushels of China fir seeds,2,3,2
31,ɦɑʁəȵi ʁopu ɦegistɑ iphikəi,ɦɑ-ʁə-ȵi ʁopu ɦe-gi-s-tɑ i-phi-kəi,DIR-go-ADVZ mountain DIR-low-NMLZ-LOC DIR-plant-NAR,and instructed them to plant them on low mountains.,2,3,3
32,nai tshəmɑ wetɕ səɸzu xsəquɑt detɕilewei,nai tshəmɑ we-tɕ səɸ-zu xsə-quɑt de-tɕi-le-wei,other thorn exist-GEN tree-seed three-bushel DIR-CONT-give-exist:HSY,"He also gave them three bushels of seeds for thorned bushes,",2,3,4
33,ʁopu tiwistɑ iphikəi,ʁopu ti-wi-s-tɑ i-phi-kəi,mountain DIR-high-NMLZ-LOC DIR-plant-NAR,and instructed them to plant them on high mountains.,2,3,5
34,nai poquʂ ekheχan detɕile,nai poquʂ e-khe-χan de-tɕi-le,other livestock one-hundred-kind DIR-CONT-give,"He also gave them a hundred kinds of livestock,",2,3,6
35,thizzi təwɑʁ,thizzi tə-wɑʁ,3DU DIR-drive.ahead,"which they drove before them,",2,3,7
36,ɑstuχɑn phuxʂuŋuəȵi themlesteke ɑdzɑʐȵi,ɑ-stu-χɑn phuxʂu-ŋuəȵi themle-steke ɑ-dzɑ-ʐ-ȵi,one-thousand-kind wild.creatures-TOP 3PL-behind DIR-follow-CAUS-ADVZ,"and a thousand kinds of birds and beasts, which followed behind them.",2,3,8
37,qalaʁɑ,qala-ʁɑ,separate/divide/leave-LOC,"When they parted,",2,4,1
38,thizzitɑ kəjiwei,thizzi-tɑ kə-ji-wei,3DU-LOC thus-say-exist:HSY,"Mupitha said to them,",2,4,2
39,ʔile gue:ʴtɑŋuəȵi hɑlȵi mutulɑ tɕetseʂu,ʔile gue:ʴ-tɑ-ŋuəȵi hɑ-l-ȵi mutu-lɑ tɕe-tse-ʂu,2PL road-LOC-TOP DIR-look-ADVZ heaven-LOC NEG.IMP-look-DTV:2SG,"“When you are on the road, do not look back at heaven.”",2,4,3
40,mutsitʂu ȵɑ tugantʂuŋuəȵi ɕtɕi:ků tənɑwei,mutsitʂu ȵɑ tugantʂu-ŋuəȵi ɕtɕi:-ků tə-nɑ-wei,Mutsitʂu and Tugantʂu-TOP heart-inside DIR-good-exist:HSY,Mutsitʂu and Tugantʂu were extremely happy.,2,5,1
