"Gloss","PRS","PST"
"pierce",,"pierced"
"teach",,"taught"
"see",,"saw"
"paint",,"painted"
"lock",,"locked"
"take",,"took"
"mourn",,"mourned"
"warn",,"warned"
"push",,"pushed"
"mix",,"mixed"
"adorn",,"adorned"
"bite",,"bit"
"get angry at",,"got angry at"
"play",,"played"
"bathe",,"bathed"
"yawn",,"yawned"
"get ready",,"got ready"
"jump",,"jumped"
"talk",,"talked"
"get lost",,"got lost"
"wake up",,"woke up"
"get tired",,"got tired"
"have rash","have a rash","had a rash"
"finish",,"finished"
"fall",,"fell"
"stroll",,"strolled"
"blush",,"blushed"
"make noise","make a noise","made a noise"
"have running nose","have a running nose","had a running nose"
"laugh",,"laughed"
"bring",,"brought"
"hear",,"heard"
"beat",,"beat"
"hit",,"hit"
