ID	FORM	GLOSS	GLOSS_IN_SOURCE	OCCURRENCE	REF
1	e	CERT	CERT	10	238:2:3 251:1:5 252:1:4 253:1:4 256:2:2 257:0:4 258:0:4 263:0:2 264:0:2 265:0:4
2	po	LOC	LOC	5	243:0:1 257:0:1 258:0:1 261:0:1 266:0:1
3	se	DES	DES	5	251:1:2 252:1:1 253:1:1 256:1:0 265:0:1
4	i	HYP	HYP	4	239:0:2 240:1:2 244:1:1 246:0:2
5	kə	IMP	IMP	3	249:0:1 254:1:1 255:0:2
6	mo	IRR	IRR	3	239:0:3 240:0:2 246:0:3
7	me	ATTRZ	ATTRZ	2	259:0:2 260:0:1
8	n	UNCERT	UNCERT	2	247:0:4 266:3:2
9	pa	REP	REP	2	238:2:4 241:0:1
10	e	DETRZ	DETRZ	1	250:0:1
11	e	SUP	SUP	1	248:1:2
12	kon	PL	PL	1	256:0:2
13	po	CAUS	CAUS	1	245:0:3
14	ti	PL	PL	1	245:0:4
15	to	3PL	3PL	1	247:0:5
16	ton	PL	PL	1	266:1:1
17	tuuwə	POSTE	POSTE	1	238:0:1
18	ət	DETRZ	DETRZ	1	247:0:1
