ID	FORM	GLOSS	GLOSS_IN_SOURCE	OCCURRENCE	REF
1	n	3	3	52	11:0:0 18:0:0 26:1:0 28:1:0 30:1:0 35:0:0 42:0:0 49:0:0 56:1:0 58:1:0 59:1:0 61:1:0 66:0:0 73:0:0 80:0:0 90:1:0 92:1:0 97:0:0 104:0:0 111:0:0 118:0:0 126:1:0 127:1:0 128:1:0 130:1:0 134:0:0 138:0:0 142:0:0 146:0:0 150:0:0 154:0:0 162:0:0 166:0:0 170:0:0 174:0:0 178:0:0 182:0:0 186:0:0 190:0:0 194:0:0 198:0:0 203:0:0 213:1:0 215:1:0 220:0:0 242:1:0 243:0:2 247:0:0 259:0:3 260:0:2 261:0:2 262:0:0
2	w	1A	1A	32	8:0:0 15:0:0 22:0:0 23:0:0 24:0:0 32:0:0 39:0:0 46:0:0 53:0:0 55:0:0 63:0:0 70:0:0 77:0:0 85:0:0 94:0:0 101:0:0 108:0:0 115:0:0 122:0:0 123:0:0 124:0:0 200:0:0 207:0:0 217:0:0 238:2:0 251:1:3 252:1:2 253:1:2 256:2:0 257:0:2 263:0:0 265:0:2
3	k	1+2P	1+2P	29	14:0:0 21:0:0 38:0:0 45:0:0 52:0:0 57:1:0 69:0:0 76:0:0 83:0:0 100:0:0 107:0:0 114:0:0 121:0:0 125:1:0 135:0:0 163:0:0 167:0:0 171:0:0 175:0:0 179:0:0 183:0:0 187:0:0 191:0:0 195:0:0 199:0:0 206:0:0 210:1:0 212:1:0 223:0:0
4	j	1P	1P	28	12:0:0 19:0:0 27:1:0 36:0:0 43:0:0 50:0:0 67:0:0 74:0:0 81:0:0 87:1:0 89:1:0 98:0:0 105:0:0 112:0:0 119:0:0 132:0:0 160:0:0 164:0:0 168:0:0 172:0:0 176:0:0 180:0:0 184:0:0 188:0:0 192:0:0 196:0:0 204:0:0 221:0:0
5	m	2A	2A	27	9:0:0 16:0:0 33:0:0 40:0:0 47:0:0 54:0:0 64:0:0 71:0:0 78:0:0 84:0:0 86:0:0 95:0:0 102:0:0 109:0:0 116:0:0 137:0:0 141:0:0 145:0:0 149:0:0 153:0:0 201:0:0 208:0:0 209:0:0 218:0:0 239:0:0 240:1:0 241:1:0
6	arə	take	take	18	46:0:1 47:0:1 48:0:1 49:0:1 50:0:1 51:0:1 52:0:1 53:0:1 54:0:1 55:0:1 56:1:1 57:1:1 58:1:1 59:1:1 60:2:0 61:1:1 62:2:0 249:0:0
7	aitə	push	push	17	77:0:1 78:0:1 79:0:1 80:0:1 81:0:1 82:0:0 83:0:1 84:0:1 85:0:1 86:0:1 87:1:1 88:1:0 89:1:1 90:1:1 91:2:0 92:1:1 93:2:0
8	eiraanopɨ	get angry at	get.angry.at	17	115:0:1 116:0:1 117:0:1 118:0:1 119:0:1 120:0:0 121:0:1 122:0:1 123:0:1 124:0:1 125:1:1 126:1:1 127:1:1 128:1:1 129:2:0 130:1:1 131:2:0
9	ene	see	see	17	15:0:1 16:0:1 17:0:1 18:0:1 19:0:1 20:0:1 21:0:1 22:0:1 23:0:1 24:0:1 25:1:1 26:1:1 27:1:1 28:1:1 29:2:0 30:1:1 31:2:0
10	enepɨ	bring	bring	17	200:0:1 201:0:1 202:0:1 203:0:1 204:0:1 205:0:1 206:0:1 207:0:1 208:0:1 209:0:1 210:1:1 211:1:1 212:1:1 213:1:1 214:2:0 215:1:1 216:2:0
