"Function","C","eC","e","o","a","aCə","aCo","else","diph","ə","ee","ei"
"1>3","wi-","w-","w-","w-","w-","w-","w-","w-","w-",,"w-","w-"
"2>3","mi-","m-","m-","m-","m-","m-","m-","m-","m-",,"m-","m-"
3,"ni-","n-","n-","n-","n-","n-","n-","n-","n-","n-","n-","n-"
"1+2>3","kii-","k-","ke-","kɨt-","kɨt-","kɨt-","kɨt-","kɨt-","kɨt-",,"k-","k-"
"1P","ji-","j-","j-","j-","j-","j-","j-","j-","j-",,"j-","j-"
"2P","ə-","ə-","ə-","o-","a-","a-","a-","ə-",,,"ə-",
"1+2P","kɨ-","k-","k-","k-","k-","k-","k-","k-","k-",,"k-","k-"
"1SA","wɨ-","s-","s-",,,,,,,"t-","s-",
"2SA","mɨ-","m-","m-",,,,,,,"m-","m-",
"1+2SA","kɨ-","k-","ke-",,,,,,,"kɨt-","k-",
