"Form","Meaning","Class","env","good"
"konka","pierce","TR","C",
"enpa","teach","TR","eC",
"ene","see","TR","e","y"
"onopɨ","paint","TR","o",
"apuru","lock","TR","a",
"arə","take","TR","aCə","y"
"amo","mourn","TR","aCo",
"uru","warn","TR","else",
"aitə","push","TR","diph","y"
"oima","mix","TR","diph",
"aarama","adorn","TR","diph",
"eeka","bite","TR","ee",
"eiraanopɨ","get angry at","TR","ei","y"
"emamina","play","sp","e",
"epɨ","bathe","sa","e",
"entapo","yawn","sa","eC",
"ehtarənma","get ready","sa","eC",
"eeseka","jump","sa","ee",
"əturu","talk","sa","ə",
"tatɨ","get lost","sp","C",
"enta","wake up","sp","eC",
"akinta","get tired","sp","a",
"osita","have rash","sp","o",
"apəəna","finish","sp","aCə",
"anota","fall","sp","aCo",
"urakana","stroll","sp","else",
"aamiita","blush","sp","diph",
"aeruta","make noise","sp","diph",
"oonapijuhta","have running nose","sp","diph",
"eerana","laugh","sp","ee",
"ahtao","when",,,
"enepɨ; eneh","bring","TR","e","y"
"pa","REP",,,
"wəri","woman","NH",,
"kaikui","jaguar","NA",,
"pawana; panawaa","friend","NH",,
"eperu","fruit","NI",,
"akuri","agouti","NA",,
"kana","fish","NA",,
"mahto","fire","NI",,
"wɨtoto","person","NH",,
"tɨɨka","tobacco","NI",,
"karaiwa","Brazilian","NA",,
"mo","IRR",,,
"pun","meat","NI",,
"pahko","my father",,,
"eta","hear","TR","e",
"ənə","eat",,,
"ai; a","be",,,
"an","where",,,
"tuuka","beat","TR","C",
"pakira","peccary","NA",,
"apə; apəə","catch",,,
"apoto","helper",,,
"tuuka","hit","TR","C",
"tarɨpɨ","monkey","NA",,
"wə","shoot",,,
"se","DES",,,
"to","3PL",,,
"pijokɨ","hit",,"C",
"apoto","helper",,,
"po","LOC",,,
"kon","PL",,,
"ekɨ","pet",,,
"otɨ","meat",,,
"pɨ","bathe",,,
"təpu","Tëpu",,,
"me","ATTRZ",,,
"mono","big one",,,
"məe","3PRO",,,
"pakoro","house",,,
"pəə","gather",,,
"tarəno","Tiriyó",,,
"fevereiro","February",,,
