Form,Meaning
wi-; wɨ-; w-,1A
mi-; mɨ-; m-,2A
kɨt-; kii-; ke-; k-,1+2A
ni-; nɨ-; n-,3
ji-; j-,1P
ə-; o-; a-,2P
kɨ-; k-,1+2P
t-; s-,1A
-tuuwə,POSTE
-ta,FUT.IPFV
-e,CERT
-i,HYP
i-,3
ji-; j-,1
-hpə,NMLZ.PST
-ma,VBZ.BEN
-po,CAUS
-ti,PL
-ma,VBZ.BEN
-ja,PRS.IPFV
-n,UNCERT
ət-; e-,DETRZ
-e,SUP
tɨ-; t-,3
-kə,IMP
ə-,2
-ne,AGT.NMLZ
-ton,PL
konka,pierce
enpa; ənpa,teach
ene; əne,see
onopɨ,paint
apuru,lock
arə; ərə,take
amo; omo,mourn
uru,warn
aitə,push
oima,mix
aarama,adorn
eeka; ka; eka,bite
eiraanopɨ; əiraanopɨ,get angry at
emamina; əmamina,play
epɨ; əpɨ,bathe
entapo; əntapo,yawn
ehtarənma; əhtarənma,get ready
eeseka; seka; eseka,jump
əturu,talk
tatɨ,get lost
enta; ənta,wake up
akinta,get tired
osita,have rash
apəəna; əpəəna,finish
anota; onota,fall
urakana,stroll
aamiita,blush
aeruta,make noise
oonapijuhta,have running nose
eerana; rana; erana,laugh
ahtao,when
enepɨ; eneh; ənepɨ,bring
pa,REP
wəri,woman
kaikui,jaguar
pawana; panawaa,friend
eperu,fruit
akuri,agouti
kana,fish
mahto,fire
wɨtoto,person
tɨɨka,tobacco
karaiwa,Brazilian
mo,IRR
pun,meat
pahko,my father
eta; əta,hear
ənə,eat
ai; a,be
an,where
tuuka,beat
pakira,peccary
apə; apəə,catch
apoto,helper
tuuka,hit
tarɨpɨ,monkey
wə,shoot
se,DES
to,3PL
pijokɨ,hit
apoto,helper
po,LOC
kon,PL
ekɨ,pet
otɨ,meat
pɨ,bathe
təpu,Tëpu
me,ATTRZ
mono,big one
məe,3PRO
pakoro,house
pəə,gather
tarəno,Tiriyó
fevereiro,February
